FIGI,Name,Ticker,Exchange Code,Security Type,Market Sector,FIGI Composite,Share Class,Security Description,Security Type 2,bloomberg_url,exists_on_bloomberg
BBG00L156254,CREATIVEFORGE GAMES SA,CFG,PW,Common Stock,Equity,BBG00L156245,BBG00L156281,CFG,Common Stock,https://www.bloomberg.com/quote/CFG:PZ,True
BBG00L54RTY9,ULTIMATE GAMES SA,ULG,PW,Common Stock,Equity,BBG00L54JMT9,BBG00L54JMY3,ULG,Common Stock,https://www.bloomberg.com/quote/ULG:PZ,True
BBG00LG527Y9,PASSUS SA,PAS,PW,Common Stock,Equity,BBG001BLDFP3,BBG001TQCBB8,PAS,Common Stock,https://www.bloomberg.com/quote/PAS:PZ,True
BBG00LPTFNX9,COSMA SA,VAB,PW,Common Stock,Equity,BBG00LPTFNW0,BBG00LPTFP00,VAB,Common Stock,https://www.bloomberg.com/quote/VAB:PZ,True
BBG00MS3WV19,PURE BIOLOGICS SA,PUR,PW,Common Stock,Equity,BBG00MS3WV00,BBG00MS3WV46,PUR,Common Stock,https://www.bloomberg.com/quote/PUR:PZ,True
BBG00NZP31Q1,CM INTERNATIONAL,CMI,PW,Common Stock,Equity,BBG00NZP31P2,BBG00NZP31T8,CMI,Common Stock,https://www.bloomberg.com/quote/CMI:PZ,True
BBG00P35Q6S7,CWMEDIA SA,CDA,PW,Common Stock,Equity,BBG00P35Q6R8,BBG00P35Q6X1,CDA,Common Stock,https://www.bloomberg.com/quote/CDA:PZ,True
BBG00P8T8913,ART GAMES STUDIO SA,ARG,PW,Common Stock,Equity,BBG00P8T8904,BBG00P8T8940,ARG,Common Stock,https://www.bloomberg.com/quote/ARG:PZ,True
BBG00Q8GLT10,E-XIM IT SA,EXM,PW,Common Stock,Equity,BBG00Q79SMF0,BBG00Q79SMG9,EXM,Common Stock,https://www.bloomberg.com/quote/EXM:PZ,True
BBG00QKLL7G7,KLABATER SA,KBT,PW,Common Stock,Equity,BBG00QKLL7F8,BBG00QKLL7K2,KBT,Common Stock,https://www.bloomberg.com/quote/KBT:PZ,True
BBG00QKSQVG4,SELVITA CRO SA,SLV,PW,Common Stock,Equity,BBG00Q5FVKN9,BBG00Q5FVKP7,SLV,Common Stock,https://www.bloomberg.com/quote/SLV:PZ,True
BBG00RF9MRH2,DRAGEUS GAMES SA,DRG,PW,Common Stock,Equity,BBG00RF9MRG3,BBG00RF9MRL7,DRG,Common Stock,https://www.bloomberg.com/quote/DRG:PZ,True
BBG00S1N9ND2,SPYROSOFT SA,SPR,PW,Common Stock,Equity,BBG00S1N9NC3,BBG00S1N9NH8,SPR,Common Stock,https://www.bloomberg.com/quote/SPR:PZ,True
BBG00WMMNF16,PYRAMID GAMES SA,PDG,PW,Common Stock,Equity,BBG00WMMNF07,BBG00WMMNF43,PDG,Common Stock,https://www.bloomberg.com/quote/PDG:PZ,True
BBG00WS6ZYJ2,STARWARD INDUSTRIES SA,STA,PW,Common Stock,Equity,BBG00WS6ZYH4,BBG00WS6ZYM8,STA,Common Stock,https://www.bloomberg.com/quote/STA:PZ,True
BBG00WXXJ7H6,GENXONE SA,GXI,PW,Common Stock,Equity,BBG00WXXJ7G7,BBG00WXXJ7Y7,GXI,Common Stock,https://www.bloomberg.com/quote/GXI:PZ,True
BBG00X2V9H27,WG PARTNER SA,WGP,PW,Common Stock,Equity,BBG00X2V9H18,BBG00X2V9H54,WGP,Common Stock,https://www.bloomberg.com/quote/WGP:PZ,True
